University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Pima Community College,Pima Community College,28070,Arizona,2.30%,2.90%,4.30%,41.20%,0.30%,3.20%,54.20%,0.70%,3.00%,42.10%,53.40%,46.60%
Collin College,Collin College,27991,Texas,0.40%,8.60%,12.10%,18.50%,0.30%,3.30%,43.20%,3.20%,0.80%,52.80%,55.80%,44.20%
University of Illinois at Chicago,University Illinois Chicago,27969,Illinois,0.10%,18.70%,7.80%,19.40%,0.20%,2.20%,48.50%,9.30%,2.10%,40.10%,53.70%,46.30%
San Jacinto College-Central Campus,San Jacinto College Central,27911,Texas,0.20%,4.90%,9.60%,49.40%,0.10%,2.10%,66.40%,1.80%,3.30%,28.50%,55.80%,44.20%
University of New Mexico,University New Mexico,27844,New Mexico,5.10%,3.30%,2.40%,40.60%,0.20%,3.10%,54.70%,4.60%,2.10%,38.70%,55.20%,44.80%
Northern Arizona University,Northern Arizona University,27705,Arizona,3.00%,1.70%,3.20%,19.40%,0.20%,4.80%,32.30%,4.50%,0.80%,62.40%,58.90%,41.10%
Portland State University,Portland State University,27696,Oregon,1.40%,7.30%,3.20%,9.60%,0.60%,4.70%,26.80%,8.40%,5.20%,59.60%,53.50%,46.50%
University ah State U.,Utah State University,27662,Utah,1.80%,1.10%,0.80%,5.50%,0.30%,1.70%,11.20%,2.90%,6.60%,79.30%,54.10%,45.90%
Tidewater Community College,Tidewater Community College,27646,Virginia,0.60%,4.00%,33.80%,7.20%,0.70%,4.70%,50.80%,0.40%,0.80%,47.90%,59.40%,40.60%
University of Wisconsin at Milwaukee,University Wisconsin Milwaukee,27596,Wisconsin,0.40%,5.70%,7.90%,7.80%,0.10%,3.10%,25.00%,5.70%,0.20%,69.20%,52.80%,47.20%
Columbia University,Columbia University City New York,27589,New York,0.30%,12.60%,5.10%,7.90%,0.10%,2.70%,28.60%,30.20%,6.50%,34.70%,50.70%,49.30%
Wayne State University,Wayne State University,27578,Michigan,0.30%,7.50%,17.70%,3.60%,0.10%,2.50%,31.60%,8.20%,5.70%,54.40%,55.90%,44.10%
East Carolina University,East Carolina University,27511,North Carolina,0.70%,2.80%,15.80%,5.40%,0.10%,2.90%,27.70%,0.90%,2.10%,69.30%,59.80%,40.20%
Hillsborough Community College,Hillsborough Community College,27298,Florida,0.50%,2.80%,17.40%,25.50%,0.20%,2.30%,48.70%,3.00%,12.20%,36.10%,57.00%,43.00%
University of Oklahoma at Norman,University Oklahoma Norman,27261,Oklahoma,4.00%,5.00%,5.30%,8.10%,0.10%,6.30%,28.70%,7.30%,4.00%,60.00%,48.90%,51.10%
University of North Carolina at Charlotte,University North Carolina Charlotte,27238,North Carolina,0.30%,4.90%,16.20%,7.30%,0.10%,3.10%,32.00%,6.20%,2.70%,59.10%,49.50%,50.50%
University of Kansas,University Kansas,27180,Kansas,0.50%,4.00%,4.20%,5.70%,0.10%,4.00%,18.50%,9.00%,2.10%,70.40%,51.30%,48.70%
Cuyahoga Community College,Cuyahoga Community College,27084,Ohio,0.60%,2.30%,30.00%,4.90%,0.00%,2.30%,40.10%,1.70%,5.20%,53.00%,60.10%,39.90%
Central Michigan University,Central Michigan University,26879,Michigan,0.70%,1.20%,11.20%,3.40%,0.10%,2.20%,18.80%,4.10%,4.00%,73.10%,56.90%,43.10%
Central New Mexico Community College,Central New Mexico Community College,26771,New Mexico,6.90%,2.10%,2.90%,47.60%,0.30%,2.30%,62.00%,3.60%,3.30%,31.00%,56.30%,43.70%
Pasadena City College,Pasadena City College,26611,California,0.10%,23.10%,4.50%,48.70%,0.10%,9.50%,86.00%,3.70%,1.00%,9.20%,52.00%,48.00%
City University of New York Borough of Manhattan Community College,City University New York Borough Manhattan Community College,26606,New York,0.30%,11.60%,27.00%,43.80%,0.40%,1.50%,84.60%,5.90%,0.00%,9.50%,57.20%,42.80%
Suffolk County Community College Central Administration,Suffolk County Community College Central Administration,26600,New York,0.30%,2.80%,7.80%,17.90%,0.10%,0.60%,29.50%,0.30%,18.50%,51.80%,52.80%,47.20%
University of Connecticut,University Connecticut,26541,Connecticut,0.20%,8.70%,5.10%,7.30%,0.10%,2.20%,23.60%,10.20%,7.50%,58.80%,50.30%,49.70%
Drexel University,Drexel University,26359,Pennsylvania,0.20%,11.70%,7.80%,5.40%,0.40%,2.60%,28.10%,12.50%,4.20%,55.20%,52.50%,47.50%
