University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Palomar College,Palomar College,24914,California,0.90%,6.60%,3.10%,38.50%,0.60%,4.40%,54.10%,1.00%,3.00%,41.90%,45.00%,55.00%
University of Pennsylvania,University Pennsylvania,24806,Pennsylvania,0.10%,15.00%,6.00%,7.30%,0.00%,3.10%,31.50%,18.40%,4.80%,45.30%,52.70%,47.30%
Kansas State University,Kansas State University,24766,Kansas,0.40%,1.50%,3.90%,5.70%,0.10%,2.80%,14.50%,9.10%,1.60%,74.90%,49.30%,50.70%
State University of New York at Stony Brook,Stony Brook University,24607,New York,0.10%,18.80%,5.90%,9.20%,0.10%,1.90%,36.00%,16.90%,7.70%,39.40%,48.90%,51.10%
California State University at Los Angeles,California State University Los Angeles,24488,California,0.10%,15.30%,4.30%,56.70%,0.30%,1.80%,78.40%,8.20%,4.40%,9.00%,58.30%,41.70%
Columbus State Community College,Columbus State Community College,24448,Ohio,0.40%,3.20%,19.40%,4.20%,0.10%,3.70%,30.90%,1.20%,4.90%,62.90%,53.80%,46.20%
Long Beach City College,Long Beach City College,24403,California,0.20%,11.30%,13.60%,54.10%,0.70%,4.30%,84.30%,0.60%,0.50%,14.60%,54.50%,45.50%
DeVry University of Illinois,DeVry University Illinois,24220,Illinois,0.50%,3.60%,20.80%,11.80%,0.40%,1.00%,38.00%,1.80%,16.70%,43.50%,54.80%,45.20%
El Camino College,El Camino College,24207,California,0.10%,13.00%,16.00%,49.50%,0.50%,4.40%,83.60%,2.40%,0.70%,13.30%,51.60%,48.40%
San Diego Mesa College,San Diego Mesa College,24159,California,0.40%,15.90%,6.50%,33.20%,0.60%,5.90%,62.50%,3.40%,1.80%,32.40%,51.70%,48.30%
Nova Southeastern University,Nova Southeastern University,24148,Florida,0.20%,6.20%,22.30%,25.50%,0.10%,1.80%,55.90%,4.00%,7.20%,32.90%,69.70%,30.30%
University of Oregon,University Oregon,24096,Oregon,0.70%,5.30%,2.00%,8.50%,0.40%,5.50%,22.40%,13.00%,2.20%,62.40%,52.30%,47.70%
Oakland Community College,Oakland Community College,24031,Michigan,0.40%,3.30%,24.20%,2.90%,0.20%,2.70%,33.70%,4.10%,3.50%,58.70%,56.50%,43.50%
California State Polytechnic University at Pomona,California State Polytechnic University Pomona,23966,California,0.20%,23.90%,3.30%,37.80%,0.30%,3.80%,69.20%,5.20%,4.90%,20.70%,44.40%,55.60%
University of Akron,University Akron,23962,Ohio,0.20%,2.40%,11.70%,2.30%,0.10%,2.90%,19.60%,5.80%,2.70%,71.90%,48.80%,51.20%
Western Michigan University,Western Michigan University,23914,Michigan,0.40%,1.60%,11.00%,4.70%,0.10%,2.90%,20.80%,7.80%,1.00%,70.40%,51.10%,48.90%
DePaul University,DePaul University,23799,Illinois,0.10%,7.50%,8.90%,14.20%,0.20%,3.30%,34.20%,5.80%,5.90%,54.10%,53.20%,46.80%
University of Virginia,University Virginia,23732,Virginia,0.20%,10.10%,5.50%,5.20%,0.00%,3.70%,24.70%,8.50%,5.20%,61.60%,54.00%,46.00%
City College of San Francisco,City College San Francisco,23610,California,0.20%,33.80%,8.30%,23.80%,0.70%,4.60%,71.40%,3.70%,2.00%,22.90%,52.90%,47.10%
Des Moines Area Community College,Des Moines Area Community College,23526,Iowa,0.40%,3.60%,6.10%,6.40%,0.10%,2.40%,19.00%,0.80%,4.30%,75.90%,53.00%,47.00%
Sacramento City College,Sacramento City College,23317,California,0.60%,19.60%,12.40%,29.40%,1.20%,6.00%,69.20%,1.50%,1.80%,27.50%,56.60%,43.40%
University of Phoenix-California,University Phoenix California,23257,California,0.30%,4.10%,10.80%,24.00%,1.80%,6.20%,47.20%,1.80%,34.50%,16.50%,51.30%,48.70%
California State University at Fresno,California State University Fresno,23179,California,0.40%,14.80%,3.50%,43.40%,0.20%,2.90%,65.20%,4.90%,5.60%,24.40%,58.20%,41.80%
Santa Rosa Junior College,Santa Rosa Junior College,23144,California,0.80%,4.90%,2.60%,30.60%,0.40%,5.00%,44.20%,0.20%,0.60%,55.10%,54.90%,45.10%
City University of New York Hunter College,City University New York Hunter College,23112,New York,0.20%,20.10%,10.90%,24.30%,0.60%,1.60%,57.70%,5.40%,0.00%,37.00%,67.70%,32.30%
Georgia Institute of Technology,Georgia Institute Technology,23109,Georgia,0.10%,15.50%,5.60%,5.60%,0.10%,3.00%,29.80%,21.40%,0.80%,48.00%,30.20%,69.80%
De Anza College,De Anza College,23104,California,0.10%,34.40%,3.40%,26.30%,0.40%,4.60%,69.30%,9.10%,0.90%,20.70%,48.40%,51.60%
University of Texas at Dallas,University Texas Dallas,23095,Texas,0.20%,19.90%,5.20%,12.80%,0.10%,3.10%,41.30%,23.60%,1.80%,33.20%,43.30%,56.70%
University of Texas at El Paso,University Texas El Paso,23079,Texas,0.20%,0.90%,2.80%,79.50%,0.10%,0.60%,84.10%,6.70%,0.60%,8.60%,54.00%,46.00%
University of California at Santa Barbara,University California Santa Barbara,23051,California,0.20%,17.80%,2.00%,23.30%,0.10%,7.50%,51.00%,7.60%,3.00%,38.40%,51.50%,48.50%
Macomb Community College,Macomb Community College,22914,Michigan,0.50%,3.60%,11.80%,2.20%,0.10%,1.60%,20.00%,1.40%,9.20%,69.40%,53.00%,47.00%
Community College of Baltimore County,Community College Baltimore County,22887,Maryland,0.40%,5.30%,38.40%,4.40%,0.20%,3.40%,52.30%,3.70%,0.50%,43.50%,60.60%,39.40%
University of Colorado at Denver,University Colorado Denver,22791,Colorado,0.40%,7.70%,3.90%,14.20%,0.10%,3.40%,29.70%,7.60%,7.00%,55.70%,56.60%,43.40%
Middle Tennessee State University,Middle Tennessee State University,22729,Tennessee,0.30%,2.60%,19.40%,4.00%,0.10%,2.80%,29.30%,4.10%,0.80%,65.90%,54.20%,45.80%
Mesa Community College,Mesa Community College,22711,Arizona,3.80%,3.90%,6.20%,23.20%,0.40%,2.00%,39.60%,2.30%,7.60%,50.50%,50.70%,49.30%
University of Delaware,University Delaware,22680,Delaware,0.10%,4.50%,5.40%,6.40%,0.10%,2.50%,19.10%,8.90%,1.50%,70.60%,56.20%,43.80%
Everest University -South Orlando Campus (Fla.),Everest University South Orlando (Fla.),22535,Florida,0.90%,0.30%,48.10%,5.40%,0.40%,4.00%,59.10%,0.00%,6.50%,34.40%,78.30%,21.70%
University of Mississippi,University Mississippi,22503,Mississippi,0.30%,1.90%,14.10%,2.70%,0.10%,2.10%,21.20%,3.50%,0.20%,75.00%,56.10%,43.90%
Eastern Michigan University,Eastern Michigan University,22401,Michigan,0.20%,2.50%,18.10%,3.70%,0.10%,3.10%,27.80%,3.40%,2.50%,66.30%,59.60%,40.40%
Nassau Community College,Nassau Community College,22374,New York,0.30%,6.60%,22.50%,22.90%,0.40%,0.00%,52.60%,1.20%,5.00%,41.20%,50.40%,49.60%
Fresno City College,Fresno City College,22307,California,0.60%,14.40%,6.20%,51.70%,0.20%,2.50%,75.60%,0.00%,1.60%,22.80%,52.20%,47.80%
Towson University,Towson University,22285,Maryland,0.10%,4.70%,15.50%,5.40%,0.10%,3.60%,29.50%,2.40%,5.40%,62.70%,62.00%,38.00%
Boise State University,Boise State University,22227,Idaho,0.60%,2.00%,1.60%,9.70%,0.30%,3.10%,17.30%,3.70%,2.90%,76.10%,54.50%,45.50%
Clemson University,Clemson University,21857,South Carolina,0.20%,1.80%,6.20%,2.70%,0.10%,2.10%,13.00%,7.20%,2.60%,77.20%,46.50%,53.50%
Missouri State University,Missouri State University Springfield,21816,Missouri,0.60%,1.40%,3.80%,3.20%,0.10%,2.80%,11.90%,6.20%,1.90%,80.00%,58.40%,41.60%
Orange Coast College,Orange Coast College,21775,California,0.20%,19.80%,1.60%,34.00%,0.30%,4.30%,60.20%,4.40%,1.70%,33.70%,47.70%,52.30%
Cerritos College,Cerritos College,21774,California,2.50%,8.70%,5.30%,68.40%,0.50%,1.60%,87.00%,0.70%,4.90%,7.40%,54.70%,45.30%
Cornell University,Cornell University,21679,New York,0.30%,14.40%,4.90%,9.20%,0.10%,3.50%,32.40%,20.20%,7.70%,39.70%,48.50%,51.50%
Metropolitan State College of Denver,Metropolitan State University Denver,21674,Colorado,0.60%,3.50%,5.90%,21.10%,0.30%,3.80%,35.20%,0.50%,3.80%,60.50%,54.00%,46.00%
University of Louisville,University Louisville,21561,Kentucky,0.20%,3.50%,10.40%,3.80%,0.10%,3.60%,21.50%,2.90%,0.30%,75.30%,51.60%,48.40%
Colorado Technical University Online,Colorado Technical University Online,21558,Colorado,1.20%,0.90%,36.20%,6.40%,0.50%,3.80%,49.00%,0.00%,6.80%,44.10%,62.90%,37.10%
Northwestern University,Northwestern University,21554,Illinois,0.10%,13.30%,4.90%,7.70%,0.10%,3.30%,29.30%,15.50%,7.00%,48.20%,46.90%,53.10%
University of California at Riverside,University California Riverside,21498,California,0.20%,32.80%,4.30%,33.10%,0.30%,3.70%,74.40%,7.60%,1.50%,16.50%,50.90%,49.10%
Thomas Edison State University,Thomas Edison State University,21495,New Jersey,0.60%,3.90%,14.70%,8.40%,0.60%,1.60%,29.90%,1.00%,13.40%,55.70%,48.50%,51.50%
Syracuse University,Syracuse University,21492,New York,0.60%,6.30%,7.70%,8.60%,0.10%,2.30%,25.60%,18.60%,3.40%,52.40%,53.90%,46.10%
Wake Technical Community College,Wake Technical Community College,21384,North Carolina,0.50%,2.80%,24.40%,8.40%,0.10%,2.90%,39.20%,7.40%,3.20%,50.20%,55.20%,44.80%
Johns Hopkins University,Johns Hopkins University,21372,Maryland,0.20%,13.70%,6.60%,7.00%,0.10%,3.20%,30.80%,17.60%,3.90%,47.60%,52.00%,48.00%
Georgia State University Õs Perimeter College,Georgia State University Õs Perimeter College,21371,Georgia,0.20%,9.50%,41.20%,8.40%,0.10%,3.50%,62.90%,5.20%,1.10%,30.80%,58.30%,41.70%
Columbia Southern University,Columbia Southern University,21359,Alabama,0.80%,2.90%,25.20%,5.80%,0.20%,2.60%,37.60%,0.10%,7.70%,54.60%,39.40%,60.60%
San Antonio College,San Antonio College,21280,Texas,0.30%,2.80%,6.30%,58.80%,0.20%,3.10%,71.50%,0.50%,0.10%,28.00%,58.50%,41.50%
Saint Louis Community College at Forest Park,Saint Louis Community College Forest Park,21218,Missouri,0.30%,3.50%,32.80%,2.90%,0.10%,3.30%,42.90%,1.30%,0.80%,55.00%,59.30%,40.70%
University of Memphis,University Memphis,21059,Tennessee,0.30%,3.00%,33.90%,3.60%,0.10%,3.00%,43.80%,3.00%,1.90%,51.30%,59.70%,40.30%
Los Angeles Pierce College,Los Angeles Pierce College,21034,California,0.20%,11.00%,5.90%,46.40%,0.20%,3.00%,66.70%,0.90%,3.50%,28.80%,54.00%,46.00%
University of Texas-Pan American,University Texas Pan American,21015,Texas,0.00%,1.50%,0.70%,89.00%,0.10%,0.40%,91.60%,2.60%,2.20%,3.60%,56.50%,43.50%
James Madison University,James Madison University,20855,Virginia,0.10%,4.30%,4.10%,5.00%,0.20%,3.40%,17.10%,2.40%,3.20%,77.20%,59.60%,40.40%
Ball State University,Ball State University,20655,Indiana,0.10%,1.00%,6.70%,3.40%,0.10%,2.00%,13.30%,3.80%,4.10%,78.80%,60.70%,39.30%
University of Toledo,University Toledo,20626,Ohio,0.20%,2.90%,11.90%,4.10%,0.10%,2.30%,21.40%,8.20%,3.50%,66.90%,49.90%,50.10%
Illinois State University,Illinois State University,20615,Illinois,0.10%,2.10%,7.10%,8.30%,0.10%,2.30%,20.00%,2.10%,0.50%,77.50%,56.00%,44.00%
Northern Illinois University,Northern Illinois University,20611,Illinois,0.10%,4.80%,13.70%,12.30%,0.10%,2.80%,33.80%,5.30%,1.20%,59.80%,50.70%,49.30%
Central Texas College,Central Texas College,20547,Texas,1.00%,2.90%,27.20%,20.10%,1.50%,2.60%,55.30%,0.20%,4.20%,40.20%,47.70%,52.30%
Oakland University,Oakland University,20519,Michigan,0.40%,4.70%,7.80%,2.80%,0.10%,2.40%,18.10%,3.20%,5.00%,73.80%,58.10%,41.90%
Georgia Southern University,Georgia Southern University,20517,Georgia,0.40%,1.40%,25.60%,6.00%,0.10%,1.90%,35.40%,1.70%,1.90%,61.00%,52.20%,47.80%
Glendale Community College (Ariz.),Glendale Community College (Ariz.),20506,Arizona,1.50%,4.40%,6.50%,32.60%,0.30%,2.20%,47.50%,1.30%,5.60%,45.60%,53.30%,46.70%
St. John's University (N.Y.),St John's University (N.Y.),20445,New York,0.20%,14.90%,13.20%,13.20%,0.30%,3.10%,44.90%,6.50%,6.50%,42.00%,56.80%,43.20%
City University of New York La Guardia Community College,City University New York La Guardia Community College,20231,New York,0.30%,17.00%,18.20%,44.70%,0.40%,1.00%,81.60%,7.10%,0.00%,11.30%,57.10%,42.90%
Harrisburg Area Community College,Harrisburg Area Community College,20230,Pennsylvania,0.30%,3.10%,10.60%,9.90%,0.20%,2.60%,26.80%,1.90%,2.40%,68.90%,62.60%,37.40%
Rio Salado College,Rio Salado College,20215,Arizona,1.80%,3.30%,7.60%,17.10%,0.20%,1.40%,31.30%,0.60%,15.10%,53.00%,61.80%,38.20%
California Polytechnic State University at San Luis Obispo,California Polytechnic State University San Luis Obispo,20186,California,0.20%,11.60%,0.70%,15.10%,0.20%,6.90%,34.60%,1.90%,4.90%,58.60%,46.10%,53.90%
Western Kentucky University,Western Kentucky University,20171,Kentucky,0.20%,1.00%,9.60%,2.60%,0.10%,2.20%,15.70%,7.10%,1.20%,75.90%,58.10%,41.90%
Mississippi State University,Mississippi State University,20138,Mississippi,0.50%,1.30%,19.20%,2.30%,0.10%,1.40%,24.80%,3.90%,0.80%,70.60%,48.60%,51.40%
Diablo Valley College,Diablo Valley College,20089,California,0.20%,15.50%,5.60%,23.00%,0.40%,7.60%,52.40%,7.90%,1.30%,38.50%,51.20%,48.80%
Montclair State University,Montclair State University,20022,New Jersey,0.10%,5.10%,9.70%,22.20%,0.20%,3.20%,40.40%,2.80%,8.70%,48.10%,63.20%,36.80%
Saddleback College,Saddleback College,20007,California,0.30%,9.10%,2.20%,25.10%,0.30%,5.10%,42.10%,2.20%,1.80%,53.90%,54.10%,45.90%
Central Piedmont Community College,Central Piedmont Community College,19957,North Carolina,0.50%,3.10%,31.50%,10.50%,0.20%,3.00%,48.70%,5.20%,3.70%,42.40%,55.90%,44.10%
University of Nevada at Reno,University Nevada Reno,19934,Nevada,0.70%,6.70%,3.40%,16.50%,0.40%,5.70%,33.50%,3.20%,1.00%,62.30%,52.60%,47.40%
Northeastern University,Northeastern University,19798,Massachusetts,0.10%,8.90%,3.20%,5.60%,0.00%,3.00%,20.70%,27.60%,7.10%,44.60%,49.30%,50.70%
Sam Houston State University,Sam Houston State University,19573,Texas,0.40%,1.40%,17.90%,18.40%,0.20%,2.80%,41.20%,1.90%,2.10%,54.70%,60.60%,39.40%
Chaffey College,Chaffey College,19557,California,0.20%,5.60%,8.70%,60.70%,0.30%,3.30%,78.80%,0.90%,2.50%,17.80%,57.80%,42.20%
University of Hawaii-Manoa,University Hawaii Manoa,19507,Hawaii,0.20%,35.40%,1.20%,8.30%,4.10%,22.80%,72.10%,6.40%,0.40%,21.10%,56.30%,43.70%
Johnson County Community College,Johnson County Community College,19429,Kansas,0.60%,4.00%,6.50%,7.20%,0.20%,3.10%,21.60%,3.10%,5.40%,69.90%,52.60%,47.40%
Richland College,Richland College,19343,Texas,0.30%,14.50%,20.70%,30.40%,0.10%,1.30%,67.20%,0.70%,4.50%,27.60%,54.90%,45.10%
City University of New York Queens College,City University New York Queens College,19310,New York,0.30%,23.80%,7.90%,26.30%,0.60%,0.80%,59.60%,4.90%,0.00%,35.50%,58.60%,41.40%
Full Sail University,Full Sail University,19285,Florida,0.80%,1.40%,23.90%,5.10%,0.30%,10.50%,42.00%,3.50%,11.30%,43.20%,28.30%,71.70%
Vincennes University,Vincennes University,19205,Indiana,0.30%,1.00%,10.70%,4.90%,0.20%,1.70%,18.80%,0.20%,6.20%,74.80%,45.30%,54.70%
Community College of Philadelphia,Community College Philadelphia,19119,Pennsylvania,0.40%,5.20%,44.60%,10.80%,0.20%,2.70%,63.90%,10.90%,3.90%,21.30%,62.50%,37.50%
Keiser University at Ft. Lauderdale,Keiser University Ft. Lauderdale,19110,Florida,0.20%,1.90%,22.30%,30.70%,0.10%,4.10%,59.30%,0.40%,1.80%,38.50%,69.40%,30.60%
Sinclair Community College,Sinclair Community College,19093,Ohio,0.50%,1.30%,14.80%,2.70%,0.20%,2.50%,21.90%,1.60%,11.80%,64.60%,56.90%,43.10%
Troy University,Troy University,19041,Alabama,0.80%,0.70%,35.90%,3.50%,0.10%,2.60%,43.60%,3.40%,4.40%,48.70%,62.70%,37.30%
Southwestern College (Calif.),Southwestern College (Calif.),19000,California,1.70%,11.70%,5.60%,51.10%,1.10%,0.00%,71.20%,0.30%,1.40%,27.00%,53.30%,46.70%
California State University at San Bernardino,California State University San Bernardino,18952,California,0.20%,5.70%,6.60%,54.90%,0.20%,2.60%,70.20%,7.20%,5.60%,17.10%,61.70%,38.30%
Blinn College,Blinn College,18850,Texas,0.40%,2.30%,9.00%,19.50%,0.10%,2.80%,34.00%,0.90%,1.40%,63.60%,51.90%,48.10%
Front Range Community College,Front Range Community College,18761,Colorado,0.70%,3.30%,1.70%,14.00%,0.20%,3.50%,23.40%,1.70%,4.30%,70.50%,57.40%,42.60%
Los Angeles City College,Los Angeles City College,18756,California,0.20%,13.00%,10.20%,51.50%,0.10%,2.20%,77.30%,2.30%,2.60%,17.80%,56.10%,43.90%
University of Alabama at Birmingham,University Alabama Birmingham,18698,Alabama,0.20%,5.00%,21.10%,2.70%,0.10%,3.00%,32.10%,3.60%,1.10%,63.30%,60.40%,39.60%
Bakersfield College,Bakersfield College,18698,California,0.40%,3.70%,4.00%,65.60%,0.10%,3.20%,77.00%,0.30%,0.60%,22.20%,56.10%,43.90%
Chamberlain College of Nursing at Addison (Ill.),Chamberlain College Nursing Addison (Ill.),18665,Illinois,0.20%,5.20%,12.00%,7.20%,0.40%,0.70%,25.70%,0.50%,26.20%,47.60%,91.00%,9.00%
University of North Carolina at Greensboro,University North Carolina Greensboro,18647,North Carolina,0.40%,4.10%,24.40%,6.00%,0.10%,3.60%,38.70%,3.40%,2.20%,55.60%,66.20%,33.80%
Los Angeles Valley College,Los Angeles Valley College,18641,California,0.20%,7.70%,5.30%,50.40%,0.10%,2.10%,65.80%,0.60%,4.20%,29.40%,56.60%,43.40%
Miami University (Ohio),Miami University Oxford,18620,Ohio,0.20%,1.90%,3.30%,3.30%,0.00%,3.10%,11.80%,9.00%,1.20%,78.10%,53.70%,46.30%
San Joaquin Delta College,San Joaquin Delta College,18572,California,0.40%,17.10%,9.80%,43.20%,0.50%,5.30%,76.30%,0.20%,0.60%,22.90%,56.60%,43.40%
Sierra College,Sierra College,18565,California,0.60%,4.70%,2.70%,25.80%,0.30%,5.30%,39.30%,1.00%,0.90%,58.70%,54.00%,46.00%
Riverside Community College District,Riverside Community College District,18547,California,0.30%,5.90%,8.50%,57.40%,0.40%,4.00%,76.50%,1.50%,0.80%,21.20%,55.90%,44.10%
Seminole State College of Florida,Seminole State College Florida,18399,Florida,0.20%,2.90%,16.50%,22.90%,0.30%,3.00%,45.90%,1.80%,1.00%,51.40%,56.00%,44.00%
Metropolitan Community College Longview (Mo.),Metropolitan Community College Longview (Mo.),18222,Missouri,0.40%,2.70%,15.70%,9.20%,0.30%,6.20%,34.50%,0.80%,0.50%,64.20%,57.10%,42.90%
City University of New York Bernard M. Baruch College,City University New York Bernard M. Baruch College,18090,New York,0.20%,30.20%,9.30%,17.70%,0.30%,1.30%,59.10%,12.30%,0.00%,28.60%,49.50%,50.50%
Grossmont College,Grossmont College,18040,California,0.30%,8.10%,6.70%,32.40%,0.50%,6.60%,54.70%,2.90%,1.00%,41.40%,55.80%,44.20%
Appalachian State University,Appalachian State University,18026,North Carolina,0.20%,1.50%,3.20%,3.90%,0.10%,2.40%,11.40%,1.20%,1.70%,85.70%,55.30%,44.70%
Southern Illinois University at Carbondale,Southern Illinois University Carbondale,17989,Illinois,0.30%,1.80%,17.30%,6.70%,0.10%,2.60%,28.80%,10.10%,0.10%,61.00%,46.20%,53.80%
Santa Barbara City College,Santa Barbara City College,17927,California,0.40%,5.00%,3.50%,32.80%,0.10%,4.70%,46.50%,8.20%,4.10%,41.20%,53.10%,46.90%
University of California at Santa Cruz,University California Santa Cruz,17866,California,0.20%,19.20%,1.90%,29.80%,0.20%,7.10%,58.40%,3.60%,2.10%,35.80%,52.10%,47.90%
Tulsa Community College,Tulsa Community College,17861,Oklahoma,7.70%,3.90%,8.80%,6.80%,0.10%,8.00%,35.20%,1.70%,3.50%,59.60%,60.10%,39.90%
NA,NA,17858,NA,5.50%,11.70%,85.80%,27.20%,6.90%,15.30%,96.30%,17.70%,77.90%,85.40%,83.70%,16.30%
City University of New York Kingsborough Community College,City University New York Kingsborough Community College,17758,New York,0.20%,13.70%,28.90%,21.10%,0.10%,1.30%,65.30%,2.60%,0.00%,32.00%,54.30%,45.70%
Indian River State College,Indian River State College,17665,Florida,0.30%,1.60%,16.60%,18.20%,0.20%,1.90%,38.80%,1.20%,3.30%,56.70%,60.30%,39.70%
National University,National University,17608,California,0.60%,9.30%,10.50%,24.70%,1.40%,4.10%,50.60%,2.90%,5.10%,41.40%,60.70%,39.30%
Modesto Junior College,Modesto Junior College,17578,California,0.60%,6.10%,3.40%,44.50%,1.10%,2.60%,58.30%,0.10%,2.90%,38.80%,57.80%,42.20%
Community College of Rhode Island,Community College Rhode Island,17553,Rhode Island,0.60%,3.10%,9.50%,19.20%,0.00%,4.30%,36.70%,0.10%,4.10%,59.20%,59.10%,40.90%
City University of New York Brooklyn College,City University New York Brooklyn College,17390,New York,0.20%,15.70%,24.20%,18.10%,0.20%,1.20%,59.70%,4.00%,0.00%,36.30%,60.30%,39.70%
"City University of New York, New York City College of Technology","City University New York, New York City College Technology",17374,New York,0.40%,19.20%,30.80%,31.50%,0.60%,1.00%,83.40%,4.50%,0.00%,12.20%,44.10%,55.90%
California State University at Chico,California State University Chico,17287,California,0.60%,5.60%,2.00%,25.00%,0.10%,4.90%,38.20%,4.70%,8.10%,49.00%,53.10%,46.90%
"University at Albany, SUNY","University Albany, SUNY",17273,New York,0.20%,7.10%,12.40%,11.70%,0.10%,2.40%,34.00%,9.00%,3.80%,53.30%,51.50%,48.50%
University of Louisiana at Lafayette,University Louisiana Lafayette,17195,Louisiana,0.50%,2.20%,19.60%,3.20%,0.10%,1.60%,27.20%,3.90%,1.10%,67.80%,55.80%,44.20%
University of Massachusetts at Lowell,University Massachusetts Lowell,17179,Massachusetts,0.10%,8.10%,5.50%,7.80%,0.00%,2.00%,23.70%,7.20%,6.30%,62.90%,39.80%,60.20%
Community College of Allegheny County,Community College Allegheny County,17153,Pennsylvania,0.40%,2.50%,17.60%,1.30%,0.10%,1.50%,23.40%,0.00%,17.00%,59.50%,57.80%,42.20%
Delgado Community College,Delgado Community College,17152,Louisiana,0.40%,3.10%,45.00%,8.80%,0.10%,2.30%,59.80%,1.40%,6.40%,32.40%,66.90%,33.10%
University of Alaska at Anchorage,University Alaska Anchorage,17151,Alaska,6.20%,6.90%,3.30%,7.20%,0.80%,8.70%,33.10%,1.80%,6.80%,58.30%,58.40%,41.60%
College of the Canyons,College Canyons,17148,California,0.20%,8.50%,4.50%,44.80%,0.20%,4.50%,62.80%,1.30%,0.40%,35.50%,51.00%,49.00%
University of Missouri at St. Louis,University Missouri St Louis,17072,Missouri,0.40%,4.20%,14.40%,2.40%,0.10%,1.20%,22.70%,3.00%,5.10%,69.10%,59.80%,40.20%
Saint Louis University,Saint Louis University,17052,Missouri,0.10%,6.50%,6.40%,3.30%,0.00%,4.10%,20.40%,5.70%,3.10%,70.80%,58.70%,41.30%
Stanford University,Stanford University,16963,California,0.60%,15.50%,3.70%,10.30%,0.20%,6.70%,37.00%,22.90%,3.40%,36.70%,41.50%,58.50%
Cleveland State University,Cleveland State University,16936,Ohio,0.20%,3.00%,17.30%,4.30%,0.10%,2.60%,27.40%,8.50%,2.50%,61.60%,55.00%,45.00%
Wright State University,Wright State University,16842,Ohio,0.20%,2.70%,11.50%,2.70%,0.10%,3.50%,20.70%,11.10%,0.70%,67.60%,51.60%,48.40%
University of Central Oklahoma,University Central Oklahoma,16840,Oklahoma,3.80%,3.00%,9.20%,7.50%,0.20%,7.50%,31.10%,8.80%,2.10%,58.00%,59.10%,40.90%
Webster University,Webster University,16769,Missouri,0.40%,2.50%,37.10%,6.90%,0.20%,1.90%,49.00%,2.10%,6.10%,42.70%,56.40%,43.60%
Madison Area Technical College,Madison Area Technical College,16759,Wisconsin,0.50%,4.00%,6.40%,8.30%,0.10%,3.90%,23.20%,1.40%,1.60%,73.90%,54.80%,45.20%
University of Massachusetts at Boston,University Massachusetts Boston,16756,Massachusetts,0.10%,10.10%,13.20%,10.50%,0.00%,2.20%,36.20%,11.40%,9.60%,42.70%,58.40%,41.60%
Milwaukee Area Technical College,Milwaukee Area Technical College,16712,Wisconsin,0.90%,4.60%,30.20%,12.30%,0.10%,2.70%,50.70%,0.00%,6.90%,42.40%,56.10%,43.90%
Binghamton University,Binghamton University,16695,New York,0.10%,12.40%,4.70%,8.80%,0.10%,2.10%,28.10%,16.40%,3.10%,52.40%,47.60%,52.40%
University of Miami,University Miami,16674,Florida,0.10%,5.70%,7.00%,21.10%,0.10%,2.40%,36.60%,16.50%,6.30%,40.60%,51.10%,48.90%
University of Rhode Island,University Rhode Island,16571,Rhode Island,0.30%,3.20%,4.80%,7.80%,0.00%,2.40%,18.50%,3.40%,9.30%,68.80%,54.80%,45.20%
Columbia College (Mo.),Columbia College (Missouri),16567,Missouri,1.00%,1.40%,23.80%,7.40%,0.50%,2.60%,36.70%,1.40%,6.00%,55.90%,59.00%,41.00%
