Rank,University_Name,State,Region,Division,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total,Total_Enrollment,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
3,California Institute Technology,California,West,Pacific,84100,151600,53,97,Private,4 Year,15525,52362,67887,52362,67887,2209,0,0.26,0.01,0.08,0,0.03,0.39,0.27,0.01,0.34,0.31,0.69
3,University Colorado Boulder,Colorado,West,Mountain,57800,109900,48,39,Public,4 Year,14418,12532,26950,37286,51704,32432,0,0.05,0.02,0.09,0,0.04,0.2,0.07,0.02,0.71,0.44,0.56
3,Wesleyan University,Connecticut,Northeast,New England,61600,117000,53,21,Private,4 Year,15060,54914,69974,54914,69974,3224,0,0.08,0.07,0.09,0,0.05,0.3,0.1,0.07,0.53,0.52,0.48
3,Delaware State University,Delaware,South,South Atlantic,46300,81900,62,10,Public,4 Year,12190,7868,20058,16904,29094,4397,0,0.01,0.66,0.05,0,0.04,0.77,0.05,0.06,0.12,0.63,0.37
3,Florida Institute Technology,Florida,South,South Atlantic,58300,105400,53,48,Private,4 Year,12880,41850,54730,41850,54730,6393,0,0.03,0.08,0.06,0,0.02,0.19,0.35,0.08,0.38,0.33,0.67
3,University Georgia,Georgia,South,South Atlantic,54400,100700,45,14,Public,4 Year,10038,11830,21868,30404,40442,35197,0,0.08,0.08,0.05,0,0.03,0.24,0.05,0.01,0.7,0.58,0.42
3,University Hawaii Manoa,Hawaii,West,Pacific,51600,91600,56,18,Public,4 Year,13689,11970,25659,34002,47691,19507,0,0.35,0.01,0.08,0.04,0.23,0.72,0.06,0,0.21,0.56,0.44
3,Idaho State University,Idaho,West,Mountain,50800,91800,64,12,Public,4 Year,7207,7420,14627,22940,30147,13429,0.01,0.01,0.01,0.08,0,0.02,0.14,0.1,0.04,0.72,0.52,0.48
3,University Illinois Urbana Champaign,Illinois,Midwest,East North Central,62600,115300,44,36,Public,4 Year,11308,15094,26402,31664,42972,45140,0,0.14,0.05,0.08,0,0.02,0.28,0.22,0.01,0.48,0.45,0.55
3,Wabash College,Indiana,Midwest,East North Central,62200,114400,40,34,Private,4 Year,10050,43450,53500,43450,53500,926,0.01,0.01,0.06,0.06,0,0.03,0.17,0.07,0.01,0.75,0,1
3,University Iowa,Iowa,Midwest,West North Central,54100,99400,48,16,Public,4 Year,11172,9267,20439,31233,42405,29970,0,0.04,0.03,0.06,0,0.02,0.15,0.12,0.06,0.67,0.52,0.48
3,Benedictine College,Kansas,Midwest,West North Central,48700,91800,69,13,Private,4 Year,10300,29530,39830,29530,39830,2138,0,0.01,0.03,0.05,0,0.04,0.15,0.03,0.03,0.79,0.53,0.47
3,Bellarmine University,Kentucky,South,East South Central,49000,90700,54,11,Private,4 Year,12250,42200,54450,42200,54450,3609,0,0.02,0.05,0.03,0,0.03,0.13,0.01,0.03,0.82,0.67,0.33
3,Louisiana Tech University,Louisiana,South,West South Central,53100,100700,57,24,Public,4 Year,6495,9645,16140,18558,25053,11225,0,0.01,0.13,0.01,0,0.02,0.17,0.05,0.08,0.69,0.49,0.51
3,Bates College,Maine,Northeast,New England,59500,111900,50,23,Private,4 Year,15224,53794,69018,53794,69018,1773,0,0.05,0.05,0.07,0,0.04,0.21,0.07,0.01,0.72,0.5,0.5
3,Johns Hopkins University,Maryland,South,South Atlantic,67200,117100,57,31,Private,4 Year,15836,54240,70076,54240,70076,21372,0,0.14,0.07,0.07,0,0.03,0.31,0.18,0.04,0.48,0.52,0.48
3,Worcester Polytechnic Institute,Massachusetts,Northeast,New England,73600,135500,47,86,Private,4 Year,14774,50530,65304,50530,65304,6381,0,0.05,0.02,0.06,0,0.03,0.16,0.21,0.08,0.56,0.31,0.69
3,University Michigan Ann Arbor,Michigan,Midwest,East North Central,63500,112200,45,38,Public,4 Year,11534,15262,26796,49350,60884,43625,0,0.11,0.04,0.04,0,0.03,0.23,0.14,0.06,0.57,0.48,0.52
3,University St Thomas (Minnesota),Minnesota,Midwest,West North Central,57500,106400,50,20,Private,4 Year,10412,42736,53148,42736,53148,10140,0,0.04,0.04,0.04,0,0.03,0.14,0.05,0.02,0.78,0.49,0.51
